  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
 130      24.17        246.00           5420686           3858528     64     64       35548      146348      146348       25188       25188       25188       25188 
 131      24.19        232.93           3858528           2702825     64     64       25188      100644      100644       17566       17566       17566       17566 
 132      24.16        221.89           2702825           1867819     64     64       17566       68096       68096       12084       12084       12084       12084 
 133      23.15        212.42           1867819           1266282     64     64       12084       45224       45224        8154        8154        8154        8154 
 134      23.16        203.95           1266282            845744     64     64        8154       29482       29482        5420        5420        5420        5420 
 135      23.17        197.49            845744            551751     64     64        5420       18782       18782        3518        3518        3518        3518 
 136      23.19        192.62            551751            353773     64     64        3518       11700       11700        2242        2242        2242        2242 
 137      24.17        191.27            353773            220781     64     64        2242        7076        7076        1388        1388        1388        1388 
 138     210.36        189.41            220781            135202     64     64        1388        4164        4164         840         840         840         840 
 139      23.19        187.54            135202             79798     64     64         840        2352        2352         488         488         488         488 
 140      24.59        187.32             79798             46628     64     64         488        1290        1290         278         278         278         278 
 141      23.17        187.12             46628             26048     64     64         278         664         664         148         148         148         148 
 142      23.16        187.57             26048             14633     64     64         148         324         324          76          76          76          76 
 143      24.15        186.68             14633              8240     64     64          76         144         144          36          36          36          36 
 144      23.16        186.93              8240              5058     64     64          36          60          60          16          16          16          16 
 145      23.15        187.08              5058              3459     64     64          16          20          20           6           6           6           6 
